# Avida population mating display data
# Fri Oct 16 06:01:46 2015
#  1: Update
#  2: Avg mating display A for mating type -1 (undefined)
#  3: Avg mating display A for mating type 0 (female)
#  4: Avg mating display A for mating type 1 (male)
#  5: Avg mating display B for mating type -1 (undefined)
#  6: Avg mating display B for mating type 0 (female)
#  7: Avg mating display B for mating type 1 (male)

2800 5.5 5.20329 5.76145 0 0 0 
2825 4.63636 5.05041 5.55782 0 0 0 
2850 3.91667 5.46452 5.70273 0 0 0 
2875 4.18182 4.98635 5.87827 0 0 0 
2900 4.3 5.42959 6.29465 0 0 0 
2925 4.875 5.33019 6.01679 0 0 0 
2950 4 5.47165 6.36995 0 0 0 
2975 3.35714 5.80776 7.05313 0 0 0 
3000 5.66667 5.96816 7.0082 0 0 0 
3025 5.53333 6.22577 6.70781 0 0 0 
3050 6.23077 6.68089 7.15965 0 0 0 
3075 4.94444 5.95235 6.82554 0 0 0 
3100 5.77778 6.10179 7.1466 0 0 0 
3125 7.14286 6.30782 7.54178 0 0 0 
3150 7.77778 6.29303 7.48704 0 0 0 
3175 6.21429 6.69961 7.53296 0 0 0 
3200 4.26667 6.89465 7.3244 0 0 0 
3225 7 7.12002 7.49719 0 0 0 
3250 6.875 7.45721 7.66759 0 0 0 
3275 8.77778 6.98063 7.66704 0 0 0 
3300 4 7.3385 8.16863 0 0 0 
3325 5.75 7.93236 8.59406 0 0 0 
3350 6.2 7.82579 8.25592 0 0 0 
3375 7.07143 8.06818 7.83277 0 0 0 
3400 5.1875 7.99332 8.19698 0 0 0 
3425 5.46154 8.19303 8.32546 0 0 0 
3450 7.7 8.03801 8.2432 0 0 0 
3475 5.3125 7.71606 8.71421 0 0 0 
3500 8.53333 7.91214 9.06563 0 0 0 
3525 7.14286 7.79899 9.16222 0 0 0 
3550 7.9 7.90436 10.2567 0 0 0 
3575 8 8.3641 10.6363 0 0 0 
3600 8.08333 8.18289 10.7144 0 0 0 
3625 6.9 8.33782 9.04425 0 0 0 
3650 6.22222 8.43902 9.53884 0 0 0 
3675 5.5 8.6431 9.42763 0 0 0 
3700 7.14286 8.9989 10.1051 0 0 0 
3725 6.57895 9.11309 10.131 0 0 0 
3750 7.625 9.19844 9.98039 0 0 0 
3775 9.27778 9.4585 9.97594 0 0 0 
3800 6.21429 9.53289 9.83793 0 0 0 
3825 7.18182 9.60279 9.70513 0 0 0 
3850 8.83333 9.26249 9.50112 0 0 0 
3875 13 9.44488 9.96101 0 0 0 
3900 16.1429 9.53064 10.1854 0 0 0 
3925 11.0714 9.28515 10.3741 0 0 0 
3950 13.7 9.36226 10.066 0 0 0 
3975 16.5 9.6663 10.3122 0 0 0 
4000 9.11111 9.96726 10.6372 0 0 0 
4025 8.71429 10.3909 11.1554 0 0 0 
4050 7.72727 10.7102 10.5572 0 0 0 
4075 8.81818 10.1342 10.6898 0 0 0 
4100 8.5 10.57 10.7561 0 0 0 
4125 10.8182 10.5574 11.0162 0 0 0 
4150 7 10.7659 10.5512 0 0 0 
4175 7.8 10.5717 10.5359 0 0 0 
4200 7.5 10.6165 10.9646 0 0 0 
4225 13.1667 10.7272 11.0906 0 0 0 
4250 16.6667 10.6554 10.5008 0 0 0 
4275 8.5 10.1776 10.7195 0 0 0 
4300 8.08333 10.2808 11.181 0 0 0 
