# Avida Dominant Data
# Fri Oct 16 05:04:26 2015
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

1225 2574 985 2.6132 0.00101523 201 201 0 4 0 0 0 0 2.6132 44544 201-aaabi 
1250 2561 780 3.28333 0.00128205 200 199 0 3 0 0 0 0 3.28333 44104 200-aaama 
1275 2548 781 3.26248 0.00128041 200 200 0 3 0 0 0 0 3.26248 50748 200-aaamc 
1300 2548 781 3.26248 0.00128041 200 200 0 3 0 0 0 0 3.26248 50748 200-aaamc 
1325 2548 781 3.26248 0.00128041 200 199.917 0 2 0 0 0 0 3.26248 50748 200-aaamc 
1350 2574 986 2.61055 0.0010142 201 201 0 2 0 0 0 0 2.61055 54649 201-aaabm 
1375 1960 779 2.51605 0.0012837 200 200.333 0 2 0 0 0 0 2.51605 54850 200-aaamf 
1400 2561 782 3.27494 0.00127877 200 199.625 0 2 0 0 0 0 3.27494 56244 200-aaamh 
1425 2548 776 3.28351 0.00128866 199 199.25 0 3 1 0 0 0 3.28351 62602 199-aaads 
1450 2548 776 3.28351 0.00128866 199 199.333 0 3 1 0 0 0 3.28351 62602 199-aaads 
1475 2548 776 3.28351 0.00128866 199 199.333 0 3 0 0 0 0 3.28351 62602 199-aaads 
1500 1960 777 2.52252 0.001287 199 199.25 0 3 0 0 0 0 2.52252 66408 199-aaadu 
1525 1960 780 2.51282 0.00128205 200 199.667 0 2 0 0 0 0 2.51282 64704 200-no_name 
1550 1960 780 2.51282 0.00128205 200 199.875 0 2 0 0 0 0 2.51282 60763 200-aaaml 
1575 2522 976 2.58402 0.00102459 199 199 0 3 0 0 0 0 2.58402 70763 199-aaadw 
1600 2548 973 2.61871 0.00102775 199 199.833 0 3 0 0 0 0 2.61871 68257 199-aaadx 
1625 2548 973 2.61871 0.00102775 199 199.556 0 2 0 0 0 0 2.61871 68257 199-aaadx 
1650 2548 973 2.61871 0.00102775 199 199.455 0 2 0 0 0 0 2.61871 68257 199-aaadx 
1675 2535 780 3.25 0.00128205 200 198.667 0 3 0 0 0 0 3.25 80283 200-aaamo 
