# Avida population female mate preference histogram
# Fri Oct 16 06:18:44 2015
#  1: Update
#  2: Random
#  3: Highest display A
#  4: Highest display B
#  5: Highest merit

5450 1254 531 0 0 
5475 1265 511 0 0 
5500 1310 469 0 0 
5525 1339 460 0 0 
5550 1348 453 0 0 
5575 1350 467 0 0 
5600 1343 453 0 0 
5625 1383 421 0 0 
5650 1399 421 0 0 
5675 1409 410 0 0 
5700 1397 410 0 0 
5725 1402 385 0 0 
5750 1420 369 0 0 
5775 1420 374 0 0 
5800 1402 386 0 0 
5825 1400 386 0 0 
5850 1430 379 0 0 
5875 1453 370 0 0 
5900 1448 381 0 0 
5925 1444 366 0 0 
5950 1461 340 0 0 
5975 1485 348 0 0 
6000 1442 347 0 0 
6025 1470 323 0 0 
6050 1471 324 0 0 
6075 1471 321 0 0 
6100 1467 329 0 0 
6125 1435 347 0 0 
6150 1432 350 0 0 
6175 1428 352 0 0 
6200 1391 376 0 0 
6225 1419 373 0 0 
6250 1413 360 0 0 
6275 1440 334 0 0 
6300 1419 353 0 0 
6325 1431 349 0 0 
6350 1447 364 0 0 
6375 1426 379 0 0 
6400 1412 396 0 0 
6425 1406 405 0 0 
6450 1389 414 0 0 
6475 1364 437 0 0 
6500 1397 436 0 0 
6525 1359 434 0 0 
6550 1360 397 0 0 
6575 1400 395 0 0 
6600 1374 397 0 0 
6625 1402 398 0 0 
6650 1429 390 0 0 
6675 1440 378 0 0 
6700 1427 378 0 0 
6725 1410 380 0 0 
6750 1400 376 0 0 
6775 1433 371 0 0 
6800 1413 381 0 0 
6825 1420 378 0 0 
6850 1427 340 0 0 
6875 1432 364 0 0 
6900 1465 360 0 0 
6925 1463 321 0 0 
6950 1430 335 0 0 
6975 1466 328 0 0 
7000 1466 329 0 0 
7025 1466 351 0 0 
7050 1427 358 0 0 
7075 1426 359 0 0 
7100 1393 376 0 0 
7125 1393 376 0 0 
7150 1388 392 0 0 
7175 1378 406 0 0 
7200 1398 403 0 0 
7225 1408 391 0 0 
7250 1423 387 0 0 
7275 1419 376 0 0 
7300 1411 371 0 0 
7325 1427 371 0 0 
7350 1450 365 0 0 
7375 1451 357 0 0 
7400 1456 359 0 0 
7425 1439 357 0 0 
7450 1464 354 0 0 
7475 1470 367 0 0 
7500 1457 368 0 0 
7525 1444 384 0 0 
7550 1403 379 0 0 
7575 1363 433 0 0 
7600 1340 419 0 0 
7625 1353 405 0 0 
7650 1365 413 0 0 
7675 1348 440 0 0 
7700 1373 434 0 0 
7725 1359 446 0 0 
7750 1352 436 0 0 
7775 1328 452 0 0 
7800 1357 464 0 0 
7825 1352 452 0 0 
7850 1365 442 0 0 
7875 1365 448 0 0 
7900 1387 446 0 0 
7925 1396 435 0 0 
7950 1380 439 0 0 
7975 1356 464 0 0 
8000 1365 468 0 0 
8025 1366 464 0 0 
8050 1336 463 0 0 
8075 1352 461 0 0 
8100 1356 458 0 0 
8125 1353 457 0 0 
8150 1376 429 0 0 
8175 1389 430 0 0 
8200 1420 417 0 0 
8225 1372 425 0 0 
8250 1397 402 0 0 
8275 1417 382 0 0 
8300 1374 398 0 0 
8325 1365 408 0 0 
8350 1369 419 0 0 
8375 1366 404 0 0 
8400 1401 401 0 0 
8425 1420 401 0 0 
8450 1415 404 0 0 
8475 1391 425 0 0 
8500 1376 411 0 0 
8525 1406 391 0 0 
8550 1401 372 0 0 
8575 1420 378 0 0 
8600 1414 386 0 0 
8625 1410 388 0 0 
8650 1417 390 0 0 
8675 1409 358 0 0 
8700 1415 354 0 0 
8725 1430 352 0 0 
8750 1406 362 0 0 
8775 1437 370 0 0 
8800 1422 363 0 0 
8825 1409 369 0 0 
8850 1417 371 0 0 
8875 1395 396 0 0 
8900 1373 409 0 0 
8925 1350 414 0 0 
8950 1384 396 0 0 
8975 1377 416 0 0 
9000 1387 400 0 0 
9025 1384 421 0 0 
9050 1371 406 0 0 
9075 1403 390 0 0 
9100 1402 403 0 0 
9125 1422 430 0 0 
9150 1454 404 0 0 
9175 1434 409 0 0 
9200 1442 406 0 0 
9225 1429 402 0 0 
9250 1439 409 0 0 
9275 1416 413 0 0 
9300 1433 387 0 0 
9325 1446 383 0 0 
9350 1456 378 0 0 
9375 1459 354 0 0 
9400 1432 370 0 0 
9425 1411 389 0 0 
9450 1408 389 0 0 
9475 1422 388 0 0 
9500 1460 388 0 0 
9525 1479 369 0 0 
9550 1503 361 0 0 
9575 1473 361 0 0 
9600 1448 339 0 0 
9625 1450 340 0 0 
9650 1443 335 0 0 
9675 1432 340 0 0 
9700 1439 350 0 0 
9725 1480 341 0 0 
9750 1476 315 0 0 
9775 1470 297 0 0 
9800 1515 282 0 0 
9825 1533 265 0 0 
9850 1521 276 0 0 
9875 1514 264 0 0 
9900 1481 269 0 0 
9925 1485 260 0 0 
9950 1538 265 0 0 
9975 1519 293 0 0 
10000 1520 272 0 0 
